material_id,display_name,family,standard_hint,condition_temper,source_id,confidence,design_allowable_status
TOOL_D2_HARD,Tool Steel D2 hardened,tool_steel,AISI D2,hardened,ASM_GENERIC,seed_typical,verify_before_release
TOOL_H13_HARD,Tool Steel H13 hardened,tool_steel,AISI H13,hardened,ASM_GENERIC,seed_typical,verify_before_release
TOOL_M2_HARD,Tool Steel M2 hardened,tool_steel,AISI M2,hardened,ASM_GENERIC,seed_typical,verify_before_release
CAST_GRAY_G25,Gray Cast Iron G25,cast_iron,EN-GJL-250,as_cast,EN_STEEL_PUBLIC,seed_typical,verify_before_release
CAST_DUCTILE_400, Ductile Cast Iron 400,cast_iron,EN-GJS-400,as_cast,EN_STEEL_PUBLIC,seed_typical,verify_before_release
CAST_DUCTILE_600,Ductile Cast Iron 600,cast_iron,EN-GJS-600,as_cast,EN_STEEL_PUBLIC,seed_typical,verify_before_release
TI_GRADE2,Titanium Grade 2,titanium,ASTM Grade 2,annealed,ASM_GENERIC,seed_typical,verify_before_release
TI_GRADE5,Titanium Grade 5 Ti-6Al-4V,titanium,Ti-6Al-4V,annealed,ASM_GENERIC,seed_typical,verify_before_release
CU_C110,Copper C110 ETP,copper_alloy,UNS C11000,annealed,ASM_GENERIC,seed_typical,verify_before_release
BRASS_C260,Cartridge Brass C260,copper_alloy,UNS C26000,half_hard,ASM_GENERIC,seed_typical,verify_before_release
BRASS_C360,Free-Cutting Brass C360,copper_alloy,UNS C36000,half_hard,ASM_GENERIC,seed_typical,verify_before_release
BRONZE_C932,Bearing Bronze C932,copper_alloy,UNS C93200,cast,ASM_GENERIC,seed_typical,verify_before_release
BRONZE_C954,Aluminum Bronze C954,copper_alloy,UNS C95400,cast,ASM_GENERIC,seed_typical,verify_before_release
MAG_AZ31B,Magnesium AZ31B,magnesium,AZ31B,wrought,ASM_GENERIC,seed_typical,verify_before_release
MAG_AZ91D,Magnesium AZ91D,magnesium,AZ91D,cast,ASM_GENERIC,seed_typical,verify_before_release
POM_C,Acetal POM-C,polymer,ISO POM-C,natural,ASM_GENERIC,seed_typical,verify_before_release
PA6,Polyamide PA6,polymer,PA6,dry,ASM_GENERIC,seed_typical,verify_before_release
PA66,Polyamide PA66,polymer,PA66,dry,ASM_GENERIC,seed_typical,verify_before_release
PA66_GF30,Polyamide PA66 GF30,polymer,PA66-GF30,dry,ASM_GENERIC,seed_typical,verify_before_release
PTFE,PTFE,polymer,PTFE,virgin,ASM_GENERIC,seed_typical,verify_before_release
PEEK,PEEK,polymer,PEEK,unfilled,ASM_GENERIC,seed_typical,verify_before_release
PEEK_GF30,PEEK GF30,polymer,PEEK-GF30,unfilled,ASM_GENERIC,seed_typical,verify_before_release
ABS,ABS,polymer,ABS,general_purpose,ASM_GENERIC,seed_typical,verify_before_release
PC,Polycarbonate PC,polymer,PC,general_purpose,ASM_GENERIC,seed_typical,verify_before_release
PETG,PETG,polymer,PETG,general_purpose,ASM_GENERIC,seed_typical,verify_before_release
PLA,PLA,polymer,PLA,printed_isotropic_seed,ASM_GENERIC,seed_typical,verify_before_release
NYLON_CF,Carbon Fiber Nylon,polymer_composite,PA-CF,printed_seed,ASM_GENERIC,seed_typical,verify_before_release
G10_FR4,G10/FR4 Glass Epoxy,composite,G10 FR4,laminate,ASM_GENERIC,seed_typical,verify_before_release
CARBON_EPOXY_QI,Carbon Epoxy Quasi-Isotropic,composite,CFRP quasi-isotropic,laminate,ASM_GENERIC,seed_typical,verify_before_release
GAROLITE_G11,Garolite G11,composite,G11,laminate,ASM_GENERIC,seed_typical,verify_before_release
RUBBER_NBR70,NBR 70A Rubber,elastomer,NBR,70A,ASM_GENERIC,seed_typical,verify_before_release
RUBBER_PU90,Polyurethane 90A,elastomer,PU,90A,ASM_GENERIC,seed_typical,verify_before_release
RUBBER_SILICONE50,Silicone Rubber 50A,elastomer,VMQ,50A,ASM_GENERIC,seed_typical,verify_before_release
WOOD_BIRCHPLY,Birch Plywood,wood,plywood,laminated,ASM_GENERIC,seed_typical,verify_before_release
MDF,Medium Density Fiberboard,wood,MDF,generic,ASM_GENERIC,seed_typical,verify_before_release
GLASS_SODA_LIME,Soda Lime Glass,ceramic_glass,soda_lime,annealed,ASM_GENERIC,seed_typical,verify_before_release
CERAMIC_ALUMINA96,Alumina 96%,ceramic_glass,Al2O3 96,sintered,ASM_GENERIC,seed_typical,verify_before_release
AL7050_T7451,Aluminum 7050-T7451,aluminum,AA 7050,T7451,NIST_ALUMINUM,seed_typical,verify_before_release
STEEL1144_STRESSPROOF,Steel AISI 1144 stressproof,carbon_steel,AISI 1144,cold_drawn_stress_relieved,ASM_GENERIC,seed_typical,verify_before_release
SS_440C_HARD,Stainless 440C hardened,stainless_steel,AISI 440C,hardened,ASM_GENERIC,seed_typical,verify_before_release
INCONEL_718_AGE,Inconel 718 aged,nickel_alloy,UNS N07718,aged,ASM_GENERIC,seed_typical,verify_before_release
