material_id,density_kg_m3,young_modulus_gpa,shear_modulus_gpa,bulk_modulus_gpa,poisson_ratio,yield_strength_mpa,ultimate_tensile_strength_mpa,compressive_yield_mpa,shear_yield_mpa,ultimate_shear_mpa,fatigue_strength_mpa,elongation_percent,hardness_brinell,thermal_expansion_um_m_k,thermal_conductivity_w_m_k,specific_heat_j_kg_k,source_id,value_basis
STEEL_A36,7850,200,77,160,0.30,250,400,250,145,240,170,20,130,12.0,52,486,ASM_GENERIC,typical_seed_verify
STEEL_1008_CR,7870,205,79,170,0.29,285,340,285,165,205,150,20,95,12.0,60,486,ASM_GENERIC,typical_seed_verify
STEEL_1010_CR,7870,205,79,170,0.29,305,365,305,177,220,155,20,105,12.0,60,486,ASM_GENERIC,typical_seed_verify
STEEL_1018_CR,7870,205,79,170,0.29,370,440,370,215,265,190,15,130,12.0,52,486,ASM_GENERIC,typical_seed_verify
STEEL_1020_HR,7870,205,79,170,0.29,295,395,295,171,235,180,25,120,12.0,52,486,ASM_GENERIC,typical_seed_verify
STEEL_1030_NORM,7850,205,79,170,0.29,345,525,345,200,315,220,20,150,12.0,50,486,ASM_GENERIC,typical_seed_verify
STEEL_1040_NORM,7850,205,79,170,0.29,415,620,415,240,370,260,16,180,12.0,50,486,ASM_GENERIC,typical_seed_verify
STEEL_1045_NORM,7850,205,79,170,0.29,450,650,450,261,390,275,16,190,12.0,50,486,ASM_GENERIC,typical_seed_verify
STEEL1050_HR,7850,205,79,170,0.29,365,620,365,212,370,250,15,180,12.0,49,486,ASM_GENERIC,typical_seed_verify
STEEL_C35_NORM,7850,205,79,170,0.29,330,560,330,191,335,230,18,160,12.0,50,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_C45_NORM,7850,205,79,170,0.29,430,650,430,249,390,270,16,190,12.0,50,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_C60_NORM,7850,205,79,170,0.29,520,780,520,302,468,320,12,230,12.0,48,486,EN_STEEL_PUBLIC,typical_seed_verify
STEEL4130_NORM,7850,205,80,170,0.29,435,670,435,252,402,290,22,200,12.0,43,477,ASM_GENERIC,typical_seed_verify
STEEL4130_QT,7850,205,80,170,0.29,785,930,785,455,558,390,15,285,12.0,43,477,ASM_GENERIC,typical_seed_verify
STEEL4140_NORM,7850,205,80,170,0.29,655,1020,655,380,610,390,17,300,12.0,42,477,ASM_GENERIC,typical_seed_verify
STEEL4140_QT,7850,205,80,170,0.29,950,1080,950,551,648,450,14,320,12.0,42,477,ASM_GENERIC,typical_seed_verify
STEEL4340_QT,7850,205,80,170,0.29,1080,1240,1080,626,744,510,12,360,12.0,44,477,ASM_GENERIC,typical_seed_verify
STEEL8620_CARB,7850,205,80,170,0.29,385,640,385,223,384,250,20,200,12.0,46,477,ASM_GENERIC,typical_seed_verify
STEEL_16MNCR5_CARB,7850,205,80,170,0.29,430,700,430,249,420,280,16,210,12.0,46,477,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_42CRMO4_QT,7850,205,80,170,0.29,900,1100,900,522,660,450,13,320,12.0,42,477,EN_STEEL_PUBLIC,typical_seed_verify
STEEL_52100,7810,210,81,175,0.30,1600,1900,1600,928,1140,700,2,700,11.5,46,470,ASM_GENERIC,typical_seed_verify
STEEL_100CR6,7810,210,81,175,0.30,1600,1900,1600,928,1140,700,2,700,11.5,46,470,EN_STEEL_PUBLIC,typical_seed_verify
SS_301_ANN,7900,193,74,160,0.30,275,758,275,159,455,240,40,180,17.3,16,500,ASM_GENERIC,typical_seed_verify
SS_304_ANN,8000,193,74,160,0.30,215,505,215,125,303,240,40,150,17.3,16,500,ASM_GENERIC,typical_seed_verify
SS_304L_ANN,8000,193,74,160,0.30,170,485,170,99,291,220,40,140,17.3,16,500,ASM_GENERIC,typical_seed_verify
SS_316_ANN,8000,193,74,160,0.30,205,515,205,119,309,240,40,150,16.0,16,500,ASM_GENERIC,typical_seed_verify
SS_316L_ANN,8000,193,74,160,0.30,170,485,170,99,291,220,40,140,16.0,16,500,ASM_GENERIC,typical_seed_verify
SS_410_HT,7750,200,77,165,0.29,450,650,450,261,390,275,20,200,9.9,24,460,ASM_GENERIC,typical_seed_verify
SS_420_HT,7750,200,77,165,0.29,700,900,700,406,540,350,10,280,10.3,24,460,ASM_GENERIC,typical_seed_verify
SS_430_ANN,7750,200,77,165,0.29,275,450,275,159,270,220,22,160,10.4,26,460,ASM_GENERIC,typical_seed_verify
SS_17_4PH_H900,7800,196,75,165,0.30,1170,1310,1170,679,786,510,10,388,10.8,18,460,ASM_GENERIC,typical_seed_verify
SS_15_5PH_H1025,7800,196,75,165,0.30,1000,1070,1000,580,642,440,12,330,10.8,18,460,ASM_GENERIC,typical_seed_verify
TOOL_O1_HARD,7830,210,81,175,0.30,1500,1900,1500,870,1140,650,2,700,11.5,31,460,ASM_GENERIC,typical_seed_verify
TOOL_A2_HARD,7860,210,81,175,0.30,1400,1800,1400,812,1080,620,2,650,11.0,26,460,ASM_GENERIC,typical_seed_verify
TOOL_D2_HARD,7700,210,81,175,0.30,1600,2100,1600,928,1260,700,1,750,10.5,20,460,ASM_GENERIC,typical_seed_verify
TOOL_H13_HARD,7800,210,81,175,0.30,1400,1800,1400,812,1080,600,6,520,11.0,28,460,ASM_GENERIC,typical_seed_verify
TOOL_M2_HARD,8160,210,81,175,0.30,2200,2600,2200,1276,1560,800,1,800,10.5,25,460,ASM_GENERIC,typical_seed_verify
CAST_GRAY_G25,7200,110,43,90,0.26,170,250,600,99,150,100,1,200,10.5,50,460,EN_STEEL_PUBLIC,typical_seed_verify
CAST_DUCTILE_400,7100,170,66,140,0.28,250,400,250,145,240,160,15,140,11.0,36,460,EN_STEEL_PUBLIC,typical_seed_verify
CAST_DUCTILE_600,7100,170,66,140,0.28,370,600,370,215,360,220,3,210,11.0,36,460,EN_STEEL_PUBLIC,typical_seed_verify
TI_GRADE2,4510,105,40,110,0.34,275,345,275,159,207,240,20,160,8.6,16,523,ASM_GENERIC,typical_seed_verify
TI_GRADE5,4430,114,44,120,0.34,880,950,880,510,570,510,14,330,8.6,7,560,ASM_GENERIC,typical_seed_verify
CU_C110,8960,117,44,140,0.34,70,220,70,41,132,70,45,50,16.5,390,385,ASM_GENERIC,typical_seed_verify
BRASS_C260,8530,110,41,105,0.34,200,380,200,116,228,120,30,100,20.0,120,380,ASM_GENERIC,typical_seed_verify
BRASS_C360,8500,97,37,100,0.31,310,470,310,180,282,150,20,130,20.5,115,380,ASM_GENERIC,typical_seed_verify
BRONZE_C932,8930,100,38,105,0.34,125,240,125,73,144,90,10,65,18.0,50,380,ASM_GENERIC,typical_seed_verify
BRONZE_C954,7450,110,41,105,0.34,250,585,250,145,351,190,12,160,16.2,59,380,ASM_GENERIC,typical_seed_verify
MAG_AZ31B,1770,45,17,35,0.35,200,260,200,116,156,90,15,50,26.0,96,1020,ASM_GENERIC,typical_seed_verify
MAG_AZ91D,1810,45,17,35,0.35,160,230,160,93,138,70,3,65,26.0,72,1020,ASM_GENERIC,typical_seed_verify
POM_C,1410,2.8,1.0,3.5,0.35,65,70,65,38,42,30,25,15,110.0,0.31,1460,ASM_GENERIC,typical_seed_verify
PA6,1140,2.5,0.9,3.0,0.39,70,80,70,41,48,25,50,12,80.0,0.25,1670,ASM_GENERIC,typical_seed_verify
PA66,1150,2.8,1.0,3.2,0.39,80,90,80,46,54,30,35,15,80.0,0.25,1670,ASM_GENERIC,typical_seed_verify
PA66_GF30,1360,8.0,3.0,8.5,0.35,150,190,150,87,114,55,3,35,30.0,0.35,1200,ASM_GENERIC,typical_seed_verify
PTFE,2200,0.5,0.18,0.7,0.46,20,28,20,12,17,7,250,5,120.0,0.25,1000,ASM_GENERIC,typical_seed_verify
PEEK,1320,3.6,1.3,4.0,0.38,100,115,100,58,69,55,20,25,47.0,0.25,1300,ASM_GENERIC,typical_seed_verify
PEEK_GF30,1510,12.0,4.4,12.5,0.35,160,190,160,93,114,80,3,45,20.0,0.43,1100,ASM_GENERIC,typical_seed_verify
ABS,1040,2.2,0.8,2.6,0.38,40,45,40,23,27,18,20,10,90.0,0.18,1300,ASM_GENERIC,typical_seed_verify
PC,1200,2.4,0.9,2.8,0.37,65,70,65,38,42,25,100,12,65.0,0.20,1200,ASM_GENERIC,typical_seed_verify
PETG,1270,2.1,0.8,2.5,0.38,50,55,50,29,33,20,120,10,70.0,0.20,1200,ASM_GENERIC,typical_seed_verify
PLA,1240,3.5,1.3,4.0,0.36,55,65,55,32,39,20,6,15,70.0,0.13,1800,ASM_GENERIC,typical_seed_verify
NYLON_CF,1200,6.0,2.2,6.5,0.35,85,110,85,49,66,40,4,25,25.0,0.35,1400,ASM_GENERIC,typical_seed_verify
G10_FR4,1850,20.0,7.5,18.0,0.32,300,350,300,174,210,120,2,110,12.0,0.30,1000,ASM_GENERIC,typical_seed_verify
CARBON_EPOXY_QI,1550,70.0,5.0,45.0,0.30,500,600,500,290,360,220,1,80,2.0,5.0,900,ASM_GENERIC,typical_seed_verify
GAROLITE_G11,1900,24.0,8.0,20.0,0.32,330,380,330,191,228,130,2,120,12.0,0.35,1000,ASM_GENERIC,typical_seed_verify
RUBBER_NBR70,1250,0.008,0.003,2.0,0.49,8,14,8,5,8,2,300,0,180.0,0.25,1800,ASM_GENERIC,typical_seed_verify
RUBBER_PU90,1200,0.050,0.017,2.0,0.48,25,40,25,15,24,8,350,0,160.0,0.22,1800,ASM_GENERIC,typical_seed_verify
RUBBER_SILICONE50,1150,0.004,0.001,2.0,0.49,5,9,5,3,5,1,400,0,250.0,0.20,1500,ASM_GENERIC,typical_seed_verify
WOOD_BIRCHPLY,680,10.0,0.8,6.0,0.30,40,60,40,8,12,20,2,5,5.0,0.13,1700,ASM_GENERIC,typical_seed_verify
MDF,750,4.0,0.5,3.0,0.30,20,35,20,5,8,10,1,4,8.0,0.12,1700,ASM_GENERIC,typical_seed_verify
GLASS_SODA_LIME,2500,70,29,43,0.23,35,45,1000,20,27,15,0,500,9.0,1.0,840,ASM_GENERIC,typical_seed_verify
CERAMIC_ALUMINA96,3900,300,120,220,0.22,300,350,2000,174,210,120,0,1200,8.0,25,880,ASM_GENERIC,typical_seed_verify
AL7050_T7451,2830,71.7,26.9,76.0,0.33,455,510,455,264,306,160,11,135,23.1,130,875,NIST_ALUMINUM,typical_seed_verify
STEEL1144_STRESSPROOF,7850,200,77,160,0.29,620,760,620,360,456,300,10,230,11.7,45,486,ASM_GENERIC,typical_seed_verify
SS_440C_HARD,7650,200,77,160,0.29,1700,1960,1700,986,1176,700,2,580,10.1,24,460,ASM_GENERIC,typical_seed_verify
INCONEL_718_AGE,8190,200,77,160,0.29,1030,1240,1030,597,744,480,12,331,13.0,11.4,435,ASM_GENERIC,typical_seed_verify
